Nome	Identificação	Catmat	Quantidade	Estoque ideal	Posição	Categoria	Descrição
RESISTOR DE CARBONO - 1/2W – 1K?	156	0	656	500	2	Consumo	RESISTOR DE CARBONO - 1/2W – 1K?
RESISTOR DE CARBONO - 1/2W – 2,7K?	157	0	621	500	2	Consumo	RESISTOR DE CARBONO - 1/2W – 2,7K?
RESISTOR DE CARBONO - 1/2W – 22K?	158	0	938	500	2	Consumo	RESISTOR DE CARBONO - 1/2W – 22K?
RESISTOR DE CARBONO - 1/2W – 330?	159	0	1316	500	2	Consumo	RESISTOR DE CARBONO - 1/2W – 330?
RESISTOR DE CARBONO - 1/2W – 38K?	160	0	0	500	2	Consumo	RESISTOR DE CARBONO - 1/2W – 38K?
RESISTOR DE CARBONO - 1/2W – 6,8K?	161	0	1968	500	2	Consumo	RESISTOR DE CARBONO - 1/2W – 6,8K?
RESISTOR DE CARBONO - 1/2W – 8,2K?	162	0	1824	500	2	Consumo	RESISTOR DE CARBONO - 1/2W – 8,2K?
RESISTOR DE CARBONO - 5W – 100?	163	0	66	100	2	Consumo	RESISTOR DE CARBONO - 5W – 100?
RESISTOR DE CARBONO - 5W – 10?	164	0	339	100	2	Consumo	RESISTOR DE CARBONO - 5W – 10?
RESISTOR DE CARBONO - 5W – 1K?	165	0	125	100	2	Consumo	RESISTOR DE CARBONO - 5W – 1K?
RESISTOR DE CARBONO – 1/2W - 1M?	166	0	936	500	2	Consumo	RESISTOR DE CARBONO – 1/2W - 1M?
RESISTOR DE CARBONO – 1/2W – 1,2K?	167	0	419	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 1,2K?
RESISTOR DE CARBONO – 1/2W – 1,5K?	168	0	904	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 1,5K?
RESISTOR DE CARBONO – 1/2W – 1,5M?	169	0	399	100	2	Consumo	RESISTOR DE CARBONO – 1/2W – 1,5M?
RESISTOR DE CARBONO – 1/2W – 1,5?	170	0	1071	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 1,5?
RESISTOR DE CARBONO – 1/2W – 1,8K?	171	0	942	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 1,8K?
RESISTOR DE CARBONO – 1/2W – 10?	172	0	928	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 10?
RESISTOR DE CARBONO – 1/2W – 120K?	173	0	1052	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 120K?
